No	Xt-EHR resource	Xt-EHR field	Xt-EHR cardinality	Xt-EHR description	ExtEHR type	Xt-EHR binding	Xt-EHR source	R5 Mapped Resource	R5 Mapped Field	R5 Relation				R5 Comments	R5 Needs work	R5 Producer Obligation	R5 Consumer Obligation	R5 Composition section	R4 Mapped Resource	R4 Mapped Field	R4 EQ				R4 Modeling	R4 Needs work	R4 Producer Obligation	R4 Consumer Obligation	R4 Composition section	
863	EHDSMedication	marketingAuthorisationHolder	0..1	Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used.	Base		Marketing authorisation holder of the medicinal product. Relevant for identifying the exact product. If the product does not have a marketing authorisation, the manufacturer information may be used.																							
864	EHDSMedication	marketingAuthorisationHolder.organisationName	0..1	Name of the organisation holding the authorisation for marketing/manufacturing	string		Name of the organisation holding the authorisation for marketing/manufacturing																							
865	EHDSMedication	marketingAuthorisationHolder.organisationIdentifier	0..*	Identifier of the organisation and/or its physical location	Identifier		Identifier of the organisation and/or its physical location																							
866	EHDSMedication	doseForm	0..1	Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm.	CodeableConcept	EDQM Standard Terms (preferred)	Dose form at the package level (e.g. authorised dose form), corresponding to IDMP Combined Pharmaceutical Dose Form (this includes terms from EDQM Combination Pack or Combined Dose Form lists). Dose form for a single package item is defined in item.doseForm.																							
867	EHDSMedication	description	0..1	Textual description of the product, e.g. including package description.	string	UCUM for units of measure. EDQM Standard Terms for units of presentation. (preferred)	Textual description of the product, e.g. including package description.																							
868	EHDSMedication	item	0..*	A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined	Base		A medication item. For combination packs, this can be multiple manufactured items with each item having its own dose form and ingredients+strengths defined																							
869	EHDSMedication	item.doseForm	0..1	Administrable or manufactured item dose form, depending on the type of medication definition. This should not include combined dose forms.	CodeableConcept	EDQM Standard Terms (preferred)	Administrable or manufactured item dose form, depending on the type of medication definition. This should not include combined dose forms.																							
870	EHDSMedication	item.ingredient	1..*	Ingredients	Base		Ingredients																							
871	EHDSMedication	item.ingredient.isActive	0..1	Marks whether the ingredient is considered an active ingredient. Excipients are typically not needed, and by default only active ingredients are expected.	boolean		Marks whether the ingredient is considered an active ingredient. Excipients are typically not needed, and by default only active ingredients are expected.																							
872	EHDSMedication	item.ingredient.substance	1..1	Substance	CodeableConcept	EMA SPOR SMS (preferred)	Substance																							
873	EHDSMedication	item.ingredient.strengthInfo	0..1	Strength of the product - amount of substance per unit	Base		Strength of the product - amount of substance per unit																							
874	EHDSMedication	item.ingredient.strengthInfo.strength	1..1	Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet'	Ratio		Concentration or presentation strength, e.g '100 mg/1 ml' or '500 mg per 1 tablet'																							
875	EHDSMedication	item.ingredient.strengthInfo.basisOfStrengthSubstance	0..1	Substance that the strength refers to, especially when different from .item.strength.substance	CodeableConcept	EMA SPOR SMS (preferred)	Substance that the strength refers to, especially when different from .item.strength.substance																							
876	EHDSMedication	item.unitOfPresentation	0..1	Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package.	CodeableConcept	EDQM Standard Terms (preferred)	Unit of presentation for the manufactured item (tablet, vial, tube). Typically, the smallest countable object in the package.																							
877	EHDSMedication	item.containedQuantity	0..1	Manufactured item quantity per one item (3 ml / 1 vial)	Ratio		Manufactured item quantity per one item (3 ml / 1 vial)																							
878	EHDSMedication	item.amount	0..1	Number of such items in this product (5 vials). The combined amount of all items will be considered to be the total package size.	Quantity	UCUM for units of measure. EDQM Standard Terms for units of presentation. (preferred)	Number of such items in this product (5 vials). The combined amount of all items will be considered to be the total package size.																							
879	EHDSMedication	item.packageType	0..1	Type of package of the medication item	CodeableConcept	EDQM Standard Terms for packaging. (preferred)	Type of package of the medication item																							
880	EHDSMedication	device	0..*	Administration device included in the product. Devices that are not inside the medication package are excluded.	Base		Administration device included in the product. Devices that are not inside the medication package are excluded.																							
881	EHDSMedication	device.deviceQuantity	1..1	Number of such devices	Quantity		Number of such devices																							
882	EHDSMedication	device.device[x]	1..1	Device coded	CodeableConcept		Device coded																							
883	EHDSMedication	device.device[x]	1..1	Device coded	CodeableConcept		Device coded																							
884	EHDSMedication	device.device[x]	1..1	Device coded	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Device coded																							
885	EHDSMedication	device.device[x]	1..1	Device coded	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Device coded																							
886	EHDSMedication	characteristic	0..*	Additional features of the product (e.g. reimbursable, sugar-free, easy-open cap, score-lined). It is expected that implementers will define a valueset supporting their use cases.	Base		Additional features of the product (e.g. reimbursable, sugar-free, easy-open cap, score-lined). It is expected that implementers will define a valueset supporting their use cases.																							
887	EHDSMedication	characteristic.type	1..1	A code expressing the type of characteristic.	CodeableConcept		A code expressing the type of characteristic.																							
888	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
889	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
890	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
891	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
892	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
893	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
894	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
895	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	boolean		Description of the characteristic value.																							
896	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
897	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
898	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
899	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
900	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
901	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
902	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
903	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	CodeableConcept		Description of the characteristic value.																							
904	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
905	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
906	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
907	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
908	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
909	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
910	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
911	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	string		Description of the characteristic value.																							
912	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
913	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
914	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
915	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
916	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
917	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
918	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
919	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Quantity		Description of the characteristic value.																							
920	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
921	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
922	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
923	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
924	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
925	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
926	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
927	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	dateTime		Description of the characteristic value.																							
928	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
929	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
930	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
931	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
932	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
933	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
934	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
935	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	integer		Description of the characteristic value.																							
936	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
937	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
938	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
939	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
940	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
941	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
942	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
943	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	decimal		Description of the characteristic value.																							
944	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
945	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
946	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
947	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
948	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
949	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
950	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
951	EHDSMedication	characteristic.value[x]	0..1	Description of the characteristic value.	Ratio		Description of the characteristic value.																							
952	EHDSMedication	batch	0..1	Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.	Base		Batch information of a medicinal product. Typically recorded during dispense or administration, rarely known or relevant for a prescription/request.																							
953	EHDSMedication	batch.lotNumber	0..1	Batch identifier of the medicinal product.	string		Batch identifier of the medicinal product.																							
954	EHDSMedication	batch.expirationDate	0..1	Batch expiration date of the medicinal product.	dateTime		Batch expiration date of the medicinal product.																							
955	EHDSMedicationAdministration		0..*	The model covers details about single medication administrations within the scope of imaging and laboratory procedures.			Medication administration model	EuMedicationAdministration																						
956	EHDSMedicationAdministration	header	1..1	Basic metadata for this information	Base		Basic metadata for this information																							
957	EHDSMedicationAdministration	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information	EuMedicationAdministration	subject	EQ		EuPatient									EQ		EuPatient							
958	EHDSMedicationAdministration	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	EuMedicationAdministration	identifier	EQ											EQ									
959	EHDSMedicationAdministration	header.author[x]	0..*	Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Responsible person for recording the administration (this may be the performer)																							
960	EHDSMedicationAdministration	header.author[x]	0..*	Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		Responsible person for recording the administration (this may be the performer)																							
961	EHDSMedicationAdministration	header.author[x]	0..*	Author(s) responsible for the provided information. The exact role of the responsible author varies across use cases and is specific to individual models.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		Responsible person for recording the administration (this may be the performer)																							
962	EHDSMedicationAdministration	header.date	0..1	Date and optionally time of authoring/issuing	dateTime		Date and optionally time of authoring/issuing																							
963	EHDSMedicationAdministration	header.status	1..1	Status of the resource or document	CodeableConcept	HL7 MedicationAdministration Status Codes (preferred)	Status of the administration (e.g. completed, on-hold)	EuMedicationAdministration	status	EQ											EQ									
964	EHDSMedicationAdministration	header.source	0..1	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
965	EHDSMedicationAdministration	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.	EuMedicationAdministration	language	EQ											EQ									
966	EHDSMedicationAdministration	medication	1..1	Administered medication	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication		Administered medication	EuMedicationAdministration	medication	EQ		EuMedication									EQ		EuMedication							
967	EHDSMedicationAdministration	occurrence[x]	1..1	Specific date/time or interval of time during which the administration took place (or did not take place)	dateTime		Specific date/time or interval of time during which the administration took place (or did not take place)	EuMedicationAdministration	occurenceDateTime	EQ											EQ									
968	EHDSMedicationAdministration	occurrence[x]	1..1	Specific date/time or interval of time during which the administration took place (or did not take place)	dateTime		Specific date/time or interval of time during which the administration took place (or did not take place)	EuMedicationAdministration	occurencePeriod	EQ											EQ									
969	EHDSMedicationAdministration	occurrence[x]	1..1	Specific date/time or interval of time during which the administration took place (or did not take place)	Period		Specific date/time or interval of time during which the administration took place (or did not take place)	EuMedicationAdministration	occurenceDateTime	EQ											EQ									
970	EHDSMedicationAdministration	occurrence[x]	1..1	Specific date/time or interval of time during which the administration took place (or did not take place)	Period		Specific date/time or interval of time during which the administration took place (or did not take place)	EuMedicationAdministration	occurencePeriod	EQ											EQ									
971	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	CodeableConcept		Condition or observation that supports why the medication was administered	EuMedicationAdministration	reason	EQ								Procedure			EQ								Procedure	
972	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	CodeableConcept		Condition or observation that supports why the medication was administered																							
973	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	CodeableConcept		Condition or observation that supports why the medication was administered																							
974	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		Condition or observation that supports why the medication was administered	EuMedicationAdministration	reason	EQ								Procedure			EQ								Procedure	
975	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		Condition or observation that supports why the medication was administered																							
976	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition		Condition or observation that supports why the medication was administered																							
977	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Condition or observation that supports why the medication was administered	EuMedicationAdministration	reason	EQ								Procedure			EQ								Procedure	
978	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Condition or observation that supports why the medication was administered																							
979	EHDSMedicationAdministration	reason[x]	0..*	Condition or observation that supports why the medication was administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation		Condition or observation that supports why the medication was administered																							
980	EHDSMedicationAdministration	dosageInstructions	0..1	Details of how medication was taken/administered	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAdministeredDosage		Details of how medication was taken/administered																							
981	EHDSMedicationAdministration	note	0..1	Textual information about the administration	string		Textual information about the administration	EuMedicationAdministration	note	EQ								Procedure			EQ								Procedure	
982	EHDSMedicationDispense		0..*	Logical model for medication dispensation (based on a request and dispensed in a pharmacy). Implementers should take into account, if allowed and needed, the calculation of remaining dispensable product based on this information.			Medication dispense model																							
983	EHDSMedicationDispense	header	1..1	Basic metadata for this information	Base		Basic metadata for this information																							
984	EHDSMedicationDispense	header.subject	1..1	Patient/subject information	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Patient/subject information																							
985	EHDSMedicationDispense	header.identifier	0..*	Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).	Identifier		Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).																							
986	EHDSMedicationDispense	header.author[x]	1..*	The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.																							
987	EHDSMedicationDispense	header.author[x]	1..*	The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.																							
988	EHDSMedicationDispense	header.author[x]	1..*	The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice		The actor who issued the dispense record. Responsibility for the dispense should be traceable from this information.																							
989	EHDSMedicationDispense	header.date	1..1	Date and time of issuing the dispense record	dateTime		Date and time of issuing the dispense record																							
990	EHDSMedicationDispense	header.status	1..1	The status of the dispense, e.g. completed, declined, entered-in-error	CodeableConcept	HL7 MedicationDispense Status Codes (preferred)	The status of the dispense, e.g. completed, declined, entered-in-error																							
991	EHDSMedicationDispense	header.source	0..0	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
992	EHDSMedicationDispense	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.																							
993	EHDSMedicationDispense	dispenseLocation	0..1	Location of dispense	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation		Location of dispense																							
994	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
995	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
996	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
997	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
998	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
999	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
1000	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
1001	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
1002	EHDSMedicationDispense	receiver[x]	0..1	Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson		Identification of the person who received the dispensed medication, especially when it was not the patient. When not present, it is assumed that the patient is the receiver.																							
1003	EHDSMedicationDispense	relatedRequest	0..*	Identifier of the prescription item the dispense is related to	Identifier		Identifier of the prescription item the dispense is related to																							
1004	EHDSMedicationDispense	medication	1..1	Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSMedication		Exact dispensed product. If multiple medications are dispensed together, multiple dispense records should be created.																							
1005	EHDSMedicationDispense	dispensedQuantity	1..1	Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected.	Quantity	UCUM, EDQM Standard Terms (preferred)	Number of dispensed packages if the package size is known, or number of smaller items/units, according to the medication dispensed. A unit is expected.																							
1006	EHDSMedicationDispense	timeOfDispensation	0..1	Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record.	dateTime		Date and time when medication was handed over. When not present, the time of dispensation is assumed to be the time of issuing dispense record.																							
1007	EHDSMedicationDispense	substitutionOccurred	0..1	Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.	boolean		Whether substitution was made by the dispenser. Definition of substitution is specific to the jurisdiction.																							
1008	EHDSMedicationDispense	dosageInstructions	0..1	Dosage and administration instructions	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDosage		Dosage and administration instructions																							
1009	EHDSMedicationDispense	note	0..1	Additional information or comments	string		Additional information or comments																							
1010	EHDSMedicationPrescription		0..*	Logical model for medication prescription. A prescription contains one or more prescription items (medications).			Medication prescription model																							
1011	EHDSMedicationPrescription	header	1..1	Prescription header	Base		Prescription header																							
1012	EHDSMedicationPrescription	header.subject	1..1	The person for whom the medication is prescribed/ordered. [Used for searching]	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient		The person for whom the medication is prescribed/ordered. [Used for searching]																							
1013	EHDSMedicationPrescription	header.identifier	1..*	Business identifier(s) for the prescription. [Used for searching]	Identifier		Business identifier(s) for the prescription. [Used for searching]																							
1014	EHDSMedicationPrescription	header.author[x]	1..*	The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional		The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]																							
1015	EHDSMedicationPrescription	header.author[x]	1..*	The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation		The prescriber, the person who made the prescription, and who takes the responsibility for the treatment. [Used for searching]																							
1016	EHDSMedicationPrescription	header.date	1..1	Time of issuing (signing) the prescription by health care professional. [Used for searching]	dateTime		Time of issuing (signing) the prescription by health care professional. [Used for searching]																							
1017	EHDSMedicationPrescription	header.status	1..1	Status of authorisation for dispensing the prescription items. This should not be the status of treatment. For a multiple-item prescription, this conveys the aggregate status of the entire prescription. In case of a single-item prescription, prescriptionItem.status shall be the same as EHDSMedicationPrescription.header.status. [Used for searching]	CodeableConcept		Status of authorisation for dispensing the prescription items. This should not be the status of treatment. For a multiple-item prescription, this conveys the aggregate status of the entire prescription. In case of a single-item prescription, prescriptionItem.status shall be the same as EHDSMedicationPrescription.header.status. [Used for searching]																							
1018	EHDSMedicationPrescription	header.source	0..0	Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.	CodeableConcept		Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.																							
1019	EHDSMedicationPrescription	header.language	0..1	Language in which the resource is written. Language is expressed by the IETF language tag.	CodeableConcept	BCP 47 (preferred)	Language in which the resource is written. Language is expressed by the IETF language tag.																							
1020	EHDSMedicationPrescription	header.statusReason[x]	0..1	Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.	CodeableConcept		Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.																							
1021	EHDSMedicationPrescription	header.statusReason[x]	0..1	Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.	CodeableConcept		Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.																							
1022	EHDSMedicationPrescription	header.statusReason[x]	0..1	Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.	string		Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.																							
1023	EHDSMedicationPrescription	header.statusReason[x]	0..1	Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.	string		Reason for the current status of prescription, for example the reason why the prescription was made invalid or changed from a previous state.																							
1024	EHDSMedicationPrescription	presentedForm	0..*	Entire prescription as issued. Various formats could be provided, PDF format is recommended.	http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment		Entire prescription as issued. Various formats could be provided, PDF format is recommended.																							
